,year,precip_km3,inflow_km3,evaporation_km3,volume_km3
0,1950,1.087757668917332,5.4689386226877,5.7375247328586285,16.871222423305202
1,1951,1.7123361520148759,5.1535831386636,6.126766613892876,17.610375100090803
2,1952,1.534468836530223,5.833832527670125,6.421969106439147,18.556707357852
3,1953,1.278829910879737,3.1827825037131965,5.174813239579327,17.8435065328656
4,1954,1.203393892082157,1.7721637461200581,4.65990944868182,16.159154722386
5,1955,1.2207454080394922,2.21147880513168,4.2675580726923705,15.3238208628648
6,1956,1.0756104707201941,2.808673206619944,4.432727702955741,14.7753768372492
7,1957,1.5692699702032722,3.0692795017349916,4.589220287795866,14.8247060213916
8,1958,0.898826856729772,1.7556489002943,3.281364682446476,14.1978170959692
9,1959,1.106966821933813,0.99742319178408,3.021355086247091,13.28085202344
10,1960,0.9205911944443691,1.0064487271467,2.8312969554070664,12.376594989624001
11,1961,0.807956366925663,0.653603630513502,2.6450566125091663,11.193098374554001
12,1962,1.0275670016599059,1.493905683509982,2.441598601426287,11.272972458297598
13,1963,0.940928188471536,1.323437566391208,2.399835495862341,11.137502717298
14,1964,1.2124759674337628,2.919405197726196,3.5535351173843557,11.7158487650736
15,1965,1.318310382144221,4.017594613960914,3.815057324382336,13.2366964367964
16,1966,0.671766713074429,2.41414843723614,3.861882998929373,12.460728588177599
17,1967,1.200495260296541,3.48735285220314,4.218493344308085,12.930083356369199
18,1968,1.611001097181476,2.93300295333432,3.9058855725125996,13.5682018343724
19,1969,1.310765165505516,3.7289357778675,4.219645300171422,14.388257477574001
20,1970,1.6046872798675909,2.796227803182,4.515449251709592,14.273723308914
21,1971,1.646691820187059,6.6251564328441,5.984224613314758,16.5613469486304
22,1972,1.497629808155644,5.67678772303902,6.275275627925469,17.460488851899598
23,1973,2.061839985678995,4.27918026921708,5.184706578674075,18.6168025281216
24,1974,1.501573206423432,4.5181135188723,6.019686725295731,18.6168025281216
25,1975,1.888418996506289,5.2114649807912405,5.880246089857529,19.8364404155616
26,1976,1.395377289829228,4.2494613269428205,5.683123702051645,19.798155330282
27,1977,1.8658854631203732,1.49936430968172,5.413457275795691,17.749947827288402
28,1978,1.7974604144387,3.0887588850922802,5.060259220042579,17.5759079067768
29,1979,0.8443001902902221,2.3327424632268,4.191603611663426,16.5613469486304
30,1980,1.676108303133015,5.18700624481398,4.9283022798553935,18.496159216722
31,1981,1.6646233755094022,2.19176648785962,4.89206022819142,17.460488851899598
32,1982,2.37996803501186,5.28898574196354,4.374029701423397,20.7554129274516
33,1983,3.030426204328605,6.81052120953522,3.7025454185318267,26.8938149227836
34,1984,3.053248355618958,9.13246190029632,7.234210365915679,31.8453148127832
35,1985,2.4486406475289453,6.29690977348098,8.40105731780033,32.1898079159928
36,1986,2.822427393950214,10.937834185081993,9.756480205626609,36.193589289398396
37,1987,1.824112527142268,2.85723151658172,7.6984809977263815,33.176452335396
38,1988,1.3204538903739822,1.4680477326577202,7.990837565303304,27.9741163931244
39,1989,1.451981867579863,1.846860225055592,6.763246949262259,24.5097115364976
40,1990,1.32071366950574,1.30498867727346,5.656919030928809,21.478494852348003
41,1991,2.026095354632655,1.75093184088006,5.12096426871991,20.134557779140803
42,1992,1.272957696746525,1.0941615493026082,4.6696013611759355,17.832075664014003
43,1993,1.947699397636778,3.182646405606087,4.163926965091266,18.7984945021656
44,1994,1.4969864612108401,1.6764840188282402,5.0783783823586806,16.893586599846
45,1995,1.656545107918947,3.279378921541742,4.1959370638074915,17.633573565499198
46,1996,1.714325831103617,3.47324326628928,5.024466222014899,17.7966764408772
47,1997,1.788304010055128,6.3856090846863,6.159887209772233,19.8107023258464
48,1998,2.744523106512586,6.6109073902981805,6.733323148049569,22.4328096746076
49,1999,1.655525293226162,5.35353458974668,6.779918498967244,22.6619510586132
50,2000,1.927091903850897,2.240835160162584,5.993533056957089,20.8363450656696
51,2001,1.6167598409711332,1.288811218632984,5.497032092038518,18.244884033235202
52,2002,1.007358489098966,1.3207137581723942,4.381785832297761,16.1911704482088
53,2003,1.360376369328626,1.095287984305596,4.5805276553686225,14.066307146474399
54,2004,1.167373403009146,1.435543816975146,3.2900419077266907,13.379182458732
55,2005,1.3610207535787149,3.8038873074878907,4.098265741197403,14.4458247786012
56,2006,1.3863441391152729,4.164506573104766,4.437370763799637,15.5593047270216
57,2007,1.110003779702605,1.832808052866276,4.407851515788481,14.094265043802
58,2008,0.910090612384981,2.064676967795004,3.9909704482239885,13.078062175758
59,2009,1.220264982823249,3.2134698132676203,4.150504635671267,13.361292336177598
60,2010,1.4109148583937159,2.280344202668214,3.939386095218732,13.113165302020802
61,2011,1.603754468398794,7.080372385975355,5.003867882328152,16.7934242740668
62,2012,1.143746600744169,2.245985269118484,5.021069141660259,15.1620870022692
63,2013,0.948092821023641,1.470140560781652,4.28168090062049,13.298639483454002
64,2014,1.076240601481864,1.679610905645859,3.5179414969361282,12.536549493645602
65,2015,1.14978834098679,1.543442024851863,3.4651038749542553,11.76467598453
66,2016,1.028232511208005,2.233963618113396,3.4568490054786034,11.5700231083728
67,2017,1.133602234078827,5.7858543083655665,5.65427145622479,12.8352081945924
68,2018,0.946675944791397,2.336216743854703,4.588228054592499,11.529872828645999
69,2019,1.419325254206915,3.236958811864471,3.4711462441873833,12.715010650530001
70,2020,0.651612923360297,2.4054262812134404,4.250435101048935,11.5216147540548
71,2021,1.004417520486799,1.284655900319112,3.509907549484707,10.300780625376
72,2022,0.77340603153984,1.32420677981436,3.3116061586314,9.0867872780988
73,2023,1.1485530681133311,4.085872336356732,2.6216141900636654,11.699598492505201
74,2024,1.036716844454107,2.337754828175946,3.455542046951655,11.618528118183601
