date,"Bear River (primary, near Corinne)",Bear River (upstream gap-fill),Weber River (near Plain City),Jordan River (Surplus Canal),Jordan River (1700 South),TOTAL_INFLOW_cfs
1950-01-01,2174.1935483870966,2067.8064516129034,569.3225806451613,134.48387096774192,118.54838709677419,5064.354838709677
1950-02-01,2594.6428571428573,2347.5,659.3928571428571,215.96428571428572,128.60714285714286,5946.107142857142
1950-03-01,2619.6774193548385,2243.548387096774,987.8064516129032,188.51612903225808,114.25806451612904,6153.806451612903
1950-04-01,3842.0,3629.6666666666665,2434.4,190.1,120.06666666666666,10216.233333333334
1950-05-01,4698.064516129032,4393.225806451613,3747.0967741935483,240.48387096774192,118.12903225806451,13197.0
1950-06-01,3704.6666666666665,3435.6666666666665,2077.9333333333334,255.9,129.2,9603.366666666667
1950-07-01,2087.5806451612902,1869.0967741935483,198.3548387096774,145.90322580645162,161.6451612903226,4462.580645161291
1950-08-01,1427.1290322580646,1353.3225806451612,49.41935483870968,119.87096774193549,169.06451612903226,3118.8064516129034
1950-09-01,1714.2,1589.9333333333334,89.86666666666666,145.63333333333333,221.8,3761.4333333333334
1950-10-01,2387.7419354838707,2303.2258064516127,269.83870967741933,110.58064516129032,198.0,5269.387096774193
1950-11-01,2524.0,2364.3333333333335,455.03333333333336,149.63333333333333,150.86666666666667,5643.866666666668
1950-12-01,2708.3870967741937,2619.6451612903224,657.3548387096774,116.48387096774194,150.6451612903226,6252.516129032258
1951-01-01,2669.3548387096776,2511.2903225806454,595.258064516129,83.70967741935483,140.38709677419354,6000.0
1951-02-01,3506.785714285714,3015.464285714286,874.4642857142857,98.32142857142857,123.35714285714286,7618.392857142857
1951-03-01,3061.935483870968,2878.3870967741937,1079.5806451612902,127.29032258064517,115.70967741935483,7262.903225806451
1951-04-01,3809.3333333333335,3600.6666666666665,2644.0,109.43333333333334,114.66666666666667,10278.099999999999
1951-05-01,3954.516129032258,3684.8387096774195,3155.483870967742,272.4516129032258,132.8709677419355,11200.161290322581
1951-06-01,1673.3666666666666,1527.3333333333333,884.4,227.43333333333334,137.53333333333333,4450.066666666667
1951-07-01,914.6451612903226,787.741935483871,82.90322580645162,204.1290322580645,150.51612903225808,2139.935483870968
1951-08-01,1454.741935483871,1314.258064516129,170.48387096774192,202.29032258064515,145.4516129032258,3287.225806451613
1951-09-01,1438.6333333333334,1315.4333333333334,83.03333333333333,154.93333333333334,152.93333333333334,3144.9666666666667
1951-10-01,1935.8064516129032,1763.225806451613,393.2903225806452,173.8709677419355,151.25806451612902,4417.451612903225
1951-11-01,2082.6666666666665,1836.3333333333333,397.8,127.46666666666667,122.53333333333333,4566.8
1951-12-01,2163.8709677419356,2022.5806451612902,516.9677419354839,200.61290322580646,140.1290322580645,5044.1612903225805
1952-01-01,2422.5806451612902,2246.6129032258063,553.2903225806451,357.35483870967744,143.25806451612902,5723.096774193547
1952-02-01,2406.896551724138,2161.3793103448274,629.8965517241379,392.7241379310345,214.68965517241378,5805.586206896552
1952-03-01,2603.8709677419356,2398.064516129032,1051.5483870967741,532.9354838709677,257.61290322580646,6844.032258064517
1952-04-01,5696.666666666667,5195.0,3465.6666666666665,681.5333333333333,250.93333333333334,15289.8
1952-05-01,4868.709677419355,4436.129032258064,6201.290322580645,1221.225806451613,51.31612903225806,16778.670967741935
1952-06-01,2033.3,1791.1,1825.1333333333334,1214.0666666666666,161.96666666666667,7025.566666666666
1952-07-01,945.1935483870968,811.483870967742,188.1290322580645,511.0967741935484,163.96774193548387,2619.8709677419356
1952-08-01,1012.258064516129,880.483870967742,96.03225806451613,290.2903225806452,160.8709677419355,2439.935483870968
1952-09-01,1203.3333333333333,1069.9666666666667,79.76666666666667,216.53333333333333,151.76666666666668,2721.3666666666672
1952-10-01,1477.6451612903227,1350.741935483871,116.38709677419355,310.3225806451613,220.83870967741936,3475.9354838709683
1952-11-01,1768.3333333333333,1546.9333333333334,343.53333333333336,505.53333333333336,222.2,4386.533333333333
1952-12-01,1975.483870967742,1845.8064516129032,406.64516129032256,726.8387096774194,176.51612903225808,5131.290322580646
1953-01-01,2242.2580645161293,1970.0,524.741935483871,828.6774193548387,150.67741935483872,5716.354838709678
1953-02-01,2034.642857142857,1921.0714285714287,456.5357142857143,829.1785714285714,104.57142857142857,5346.0
1953-03-01,1898.3870967741937,1799.032258064516,586.483870967742,804.0322580645161,144.41935483870967,5232.354838709677
1953-04-01,2125.0,2055.3333333333335,861.4,773.8,142.23333333333332,5957.766666666667
1953-05-01,1706.225806451613,1542.1290322580646,1421.225806451613,498.6774193548387,67.32903225806452,5235.587096774194
1953-06-01,1990.4666666666667,1779.5666666666666,1671.6,553.6,72.66666666666667,6067.900000000001
1953-07-01,177.67741935483872,71.2258064516129,62.41935483870968,189.7741935483871,129.32258064516128,630.4193548387098
1953-08-01,257.93548387096774,166.61290322580646,52.29032258064516,214.25806451612902,117.06451612903226,808.1612903225807
1953-09-01,254.03333333333333,176.6,68.36666666666666,209.66666666666666,147.6,856.2666666666667
1953-10-01,710.6129032258065,572.6129032258065,140.0,200.80645161290323,171.03225806451613,1795.0645161290322
1953-11-01,1128.2333333333333,957.2333333333333,242.8,155.33333333333334,153.13333333333333,2636.7333333333336
1953-12-01,1123.741935483871,958.4193548387096,211.96774193548387,222.32258064516128,183.29032258064515,2699.741935483871
1954-01-01,1190.8064516129032,1025.0967741935483,260.19354838709677,239.90322580645162,166.03225806451613,2882.032258064516
1954-02-01,1305.1785714285713,1200.1785714285713,351.39285714285717,229.28571428571428,188.78571428571428,3274.8214285714284
1954-03-01,1508.3870967741937,1367.258064516129,385.19354838709677,328.9032258064516,207.74193548387098,3797.4838709677424
1954-04-01,1750.4,1534.6666666666667,380.0,236.96666666666667,168.06666666666666,4070.1
1954-05-01,504.741935483871,330.5806451612903,34.74193548387097,176.2258064516129,148.38709677419354,1194.6774193548385
1954-06-01,355.23333333333335,216.7,33.833333333333336,193.16666666666666,157.2,956.1333333333334
1954-07-01,122.64516129032258,45.54838709677419,30.225806451612904,138.03225806451613,156.25806451612902,492.7096774193548
1954-08-01,113.3225806451613,34.70967741935484,17.970967741935485,97.61290322580645,160.32258064516128,423.93870967741935
1954-09-01,344.73333333333335,266.96666666666664,32.666666666666664,135.23333333333332,168.56666666666666,948.1666666666667
1954-10-01,715.7741935483871,569.516129032258,110.19354838709677,134.25806451612902,154.41935483870967,1684.1612903225807
1954-11-01,928.8333333333334,759.5333333333333,209.16666666666666,103.56666666666666,136.2,2137.3
1954-12-01,902.9032258064516,763.6451612903226,168.19354838709677,95.48387096774194,152.48387096774192,2082.7096774193546
1955-01-01,1040.3225806451612,874.0322580645161,157.90322580645162,61.354838709677416,140.1290322580645,2273.7419354838707
1955-02-01,1024.642857142857,869.75,203.14285714285714,59.607142857142854,149.32142857142858,2306.4642857142853
1955-03-01,1567.741935483871,1379.2903225806451,406.4516129032258,101.3225806451613,133.74193548387098,3588.5483870967746
1955-04-01,2146.3333333333335,1932.0,537.1333333333333,82.0,118.93333333333334,4816.400000000001
1955-05-01,1593.3548387096773,1436.774193548387,496.83870967741933,146.41935483870967,147.32258064516128,3820.709677419355
1955-06-01,938.9333333333333,776.4666666666667,175.73333333333332,206.13333333333333,169.73333333333332,2267.0
1955-07-01,118.35483870967742,32.903225806451616,52.25806451612903,127.51612903225806,136.03225806451613,467.0645161290322
1955-08-01,168.7741935483871,78.70967741935483,40.12903225806452,144.38709677419354,141.93548387096774,573.9354838709678
1955-09-01,277.1333333333333,224.8,54.766666666666666,166.86666666666667,156.06666666666666,879.6333333333334
1955-10-01,745.1935483870968,619.0,117.6774193548387,146.74193548387098,172.03225806451613,1800.6451612903227
1955-11-01,1149.0,1005.5,249.0,83.66666666666667,172.36666666666667,2659.5333333333333
1955-12-01,1806.741935483871,1713.9354838709678,495.48387096774195,65.38709677419355,188.58064516129033,4270.129032258065
1956-01-01,2122.2580645161293,1811.483870967742,544.1612903225806,30.825806451612905,192.70967741935485,4701.43870967742
1956-02-01,1382.7586206896551,1232.9310344827586,569.8965517241379,37.08965517241379,169.0,3391.675862068965
1956-03-01,2024.8387096774193,1908.3870967741937,1095.3548387096773,65.83870967741936,126.03225806451613,5220.451612903225
1956-04-01,2783.0,2659.0,769.1666666666666,121.33333333333333,99.36666666666666,6431.866666666667
1956-05-01,2642.5806451612902,2484.8387096774195,1048.225806451613,274.48387096774195,180.74193548387098,6630.870967741936
1956-06-01,751.5666666666667,544.3666666666667,344.46666666666664,188.32000000000002,160.53333333333333,1989.2533333333333
1956-07-01,125.06451612903226,76.25806451612904,38.41935483870968,95.51612903225806,197.70967741935485,532.9677419354839
1956-08-01,227.74193548387098,140.38709677419354,22.677419354838708,92.06451612903226,175.0,657.8709677419355
1956-09-01,254.53333333333333,156.06666666666666,27.433333333333334,155.93333333333334,185.16666666666666,779.1333333333333
1956-10-01,761.4193548387096,647.7741935483871,182.16129032258064,166.06451612903226,178.74193548387098,1936.1612903225805
1956-11-01,1088.1333333333334,904.3666666666667,247.9,121.1,170.43333333333334,2531.9333333333334
1956-12-01,1252.1935483870968,1097.9032258064517,228.58064516129033,95.12903225806451,151.67741935483872,2825.4838709677415
1957-01-01,1217.741935483871,1079.258064516129,185.80645161290323,75.83870967741936,142.61290322580646,2701.2580645161293
1957-02-01,1635.7142857142858,1566.892857142857,429.2142857142857,70.78571428571429,141.75,3844.357142857143
1957-03-01,2031.6129032258063,1751.741935483871,503.51612903225805,74.48387096774194,143.6451612903226,4505.0
1957-04-01,2226.6666666666665,2153.3333333333335,836.7666666666667,95.86666666666666,144.4,5457.033333333333
1957-05-01,3599.6774193548385,3532.5806451612902,1882.516129032258,270.2258064516129,115.06451612903226,9400.064516129032
1957-06-01,2436.1666666666665,2161.3333333333335,891.9333333333333,504.76666666666665,116.53333333333333,6110.733333333334
1957-07-01,215.74193548387098,119.90322580645162,67.61290322580645,148.03225806451613,151.74193548387098,703.0322580645161
1957-08-01,481.7096774193548,447.6774193548387,47.225806451612904,133.74193548387098,154.90322580645162,1265.2580645161293
1957-09-01,716.2068965517242,646.8333333333334,73.86666666666666,171.33333333333334,170.8,1779.0402298850574
