date,"Bear River (primary, near Corinne)_acft",Bear River (upstream gap-fill)_acft,Weber River (near Plain City)_acft,Jordan River (Surplus Canal)_acft,Jordan River (1700 South)_acft,TOTAL_INFLOW_cfs_acft
1951-10-01,119029.835,108418.11,24182.832000000002,10691.065,9300.6315,271622.47349999996
1951-11-01,123929.08,109271.015,23671.089,7584.904000000001,7291.346,271747.434
1951-12-01,133053.18000000002,124365.45000000001,31787.571000000004,12335.386500000002,8616.324,310157.9115
1952-01-01,148960.85,138140.85749999998,34020.992,21973.213000000003,8808.7235,351904.63599999994
1952-02-01,138448.30000000002,124325.77999999997,36232.5945,22590.0815,12349.270999999999,333946.027
1952-03-01,160108.12000000002,147453.39,64658.13299999999,32769.4035,15840.231000000002,420829.2775000001
1952-04-01,338980.15,309128.47500000003,206224.495,40554.641,14931.788000000002,909819.549
1952-05-01,299369.655,272770.92,381308.04,75091.34300000001,3155.3518,1031695.3098
1952-06-01,120991.5165,106579.4055,108604.55900000002,72243.037,9637.826500000001,418056.34449999995
1952-07-01,58118.533500000005,49896.926,11567.772,31426.574000000004,10082.130500000001,161091.93600000002
1952-08-01,62242.23,54139.6325,5904.879499999999,17849.5165,9891.7145,150027.973
1952-09-01,71604.35,63668.366500000004,4746.5155,12884.816,9030.875500000002,161934.92350000003
1952-10-01,90858.18450000002,83055.0955,7156.468000000002,19081.27,13579.041000000001,213730.05900000004
1952-11-01,105224.675,92050.26800000001,20441.951,30081.761000000002,13222.011,261020.66599999997
1952-12-01,121469.54000000001,113495.87,25004.001,44692.222,10853.712000000001,315515.34500000003
1953-01-01,137873.08500000002,121132.345,32265.594500000003,50954.131499999996,9264.9285,351490.08450000006
1953-02-01,112999.99500000001,106692.46500000003,25355.0805,46050.9195,5807.687999999999,296906.14800000004
1953-03-01,116728.975,110619.795,36062.0135,49438.7375,8880.129500000001,321729.6505
1953-04-01,126448.125,122302.61000000002,51257.607,46044.969,8463.5945,354516.90550000005
1953-05-01,104913.26550000001,94823.20100000002,87389.043,30662.9265,4139.9612,321928.3972
1953-06-01,118442.71900000001,105893.1145,99468.558,32941.968,4324.030000000001,361070.38950000005
1953-07-01,10925.118,4379.567999999999,3838.0725,11668.9305,7951.8515,38763.5405
1953-08-01,15860.066,10244.7775,3215.2535,13174.407000000001,7198.1215,49692.62550000001
1953-09-01,15116.2535,10508.583,4068.1585,12476.214999999998,8782.938,50952.148
1953-10-01,43694.5215,35209.1085,8608.39,12347.2875,10516.517,110375.8245
1953-11-01,67135.52449999998,56960.169499999996,14447.814000000002,9243.11,9112.199,156898.817
1953-12-01,69097.206,58931.7685,13033.5785,13670.282,11270.247,166003.08200000002
1954-01-01,73220.9025,63031.66299999999,15998.911,14751.289499999999,10209.0745,177211.8405
1954-02-01,72487.00749999999,66655.51749999999,19515.6565,12734.07,10484.781,181877.0325
1954-03-01,92748.46,84070.6475,23684.973500000004,20223.766,12773.74,233501.58700000003
1954-04-01,104157.55200000001,91320.34000000001,22611.9,14100.701500000001,10000.807,242191.3005
1954-05-01,31035.824500000002,20326.908,2136.2295,10835.8605,9124.1,73458.92249999997
1954-06-01,21138.1595,12894.7335,2013.2525000000003,11494.382499999998,9354.186,56894.71400000001
1954-07-01,7541.267,2800.702,1858.5395,8487.3965,9608.074,30295.979
1954-08-01,6968.035500000001,2134.246,1105.0078500000002,6002.070999999999,9857.994999999999,26067.35535
1954-09-01,20513.357,15885.851499999999,1943.83,8047.059499999999,10030.5595,56420.657500000016
1954-10-01,44011.8815,35018.6925,6775.635999999999,8255.327,9495.014500000001,103556.5515
1954-11-01,55270.22750000001,45196.031,12446.462499999998,6162.7345000000005,8104.580999999999,127180.03650000002
1954-12-01,55518.165,46955.3955,10341.969,5871.16,9376.0045,128062.69399999996
1955-01-01,63967.875,53742.9325,9709.2325,3772.6169999999997,8616.324,139808.981
1955-02-01,56906.615000000005,48304.175500000005,11282.148,3310.4615,8293.013500000001,128096.41349999998
1955-03-01,96398.1,84810.493,24992.1,6230.173500000001,8223.591,220654.45750000002
1955-04-01,127717.56500000002,114963.66,31962.119000000002,4879.41,7077.128000000001,286599.88200000004
1955-05-01,97972.99899999998,88345.09,30549.867000000002,9003.106500000002,9058.6445,234929.70700000002
1955-06-01,55871.227999999996,46203.649000000005,10457.011999999999,12265.964,10099.982,134897.835
1955-07-01,7277.4615,2023.1700000000003,3213.27,7840.775500000001,8364.4195,28719.096499999996
1955-08-01,10377.672,4839.74,2467.474,8878.145999999999,8727.4,35290.43200000001
1955-09-01,16490.819,13376.724000000002,3258.8905,9929.401000000002,9286.747,52342.58150000001
1955-10-01,45820.83350000001,38061.3815,7235.808,9022.9415,10578.005500000001,110718.97000000003
1955-11-01,68371.24500000001,59832.277500000004,14816.745,4978.585000000001,10256.6785,158255.53100000002
1955-12-01,111093.8515,105387.322,30466.559999999998,4020.5545,11595.541,262563.8290000001
1956-01-01,130494.46500000001,111385.426,33459.6615,1895.4326,11849.429,289084.41410000005
1956-02-01,79538.35,70920.0425,32781.3045,2133.4526,9721.1335,195094.2831
1956-03-01,124504.295,117343.86000000002,67351.72599999998,4048.3235000000004,7749.5345,320997.739
1956-04-01,165602.415,158223.795,45769.2625,7219.94,5912.8135,382728.226
1956-05-01,162488.32,152789.005,64453.832500000004,16877.6015,11113.5505,407722.30950000003
1956-06-01,44721.974500000004,32392.538500000002,20497.488999999998,11205.981600000001,9552.536,118370.51959999999
1956-07-01,7690.029500000001,4688.994000000001,2362.3485,5873.1435,12156.871500000001,32771.387
1956-08-01,14003.509999999998,8632.192,1394.4005,5660.909,10760.487500000001,40451.499
1956-09-01,15146.006000000001,9286.747,1632.4205000000004,9278.813,11018.342499999999,46362.329
1956-10-01,46818.534,39830.6635,11200.8245,10211.058,10990.5735,119051.6535
1956-11-01,64749.37400000001,53814.33850000001,14751.2895,7206.0555,10141.6355,150662.693
1956-12-01,76995.50300000001,67508.4225,14055.081,5849.3415,9326.417000000001,173734.76499999998
1957-01-01,74877.125,66361.9595,11424.960000000001,4663.208500000001,8769.053500000002,166096.3065
1957-02-01,90844.3,87022.09550000001,23837.703,3931.2970000000005,7872.5115000000005,213507.90700000004
1957-03-01,124920.83,107711.984,30960.451500000003,4579.9015,8832.525500000002,277005.6925
1957-04-01,132497.8,128134.10000000002,49791.800500000005,5704.546,8592.522,324720.7685
1957-05-01,221338.76499999998,217213.085,115753.09300000001,16615.7795,7075.1445,577995.867
1957-06-01,144964.0975,128610.14000000001,53074.493,30036.1405,6934.315999999999,363619.18700000003
1957-07-01,13265.648,7372.6695,4157.416,9102.281500000001,9330.384,43228.399
1957-08-01,29619.6055,27527.013000000003,2903.844,8223.591,9524.767,77798.82050000002
1957-09-01,42617.89137931035,38489.817500000005,4395.436,10195.19,10163.454000000002,105861.78887931035
1957-10-01,,79449.0925,9602.1235,10052.377999999999,10137.6685,109241.2625
1957-11-01,,81184.655,15072.616500000002,6523.731500000001,8415.9905,111196.99350000001
1957-12-01,,74450.6725,29133.647999999997,6178.6025,8273.178500000002,118036.10149999999
1958-01-01,,74460.59000000001,24014.234500000002,6597.121,7767.386,112839.3315
1958-02-01,,101753.55,30359.451,11256.362500000001,5522.064000000001,148891.42750000002
1958-03-01,,98651.35600000001,52608.370500000005,14997.243499999999,4427.1720000000005,170684.14200000002
1958-04-01,,159889.935,105899.065,21931.5595,4125.68,291846.2395
1958-05-01,,136109.7535,90435.69900000001,28913.4795,2897.8935,258356.82549999998
1958-06-01,,16705.037,2828.471,24730.278000000002,5282.0605000000005,49545.8465
1958-07-01,,4183.2015,2154.081,5355.45,13007.793000000001,24700.525500000003
1958-08-01,,22968.93,2294.9094999999998,5982.236,14703.6855,45949.761
1958-09-01,,33425.942,3141.864,10798.174,14162.19,61528.170000000006
1958-10-01,,41970.86,4893.2945,7557.135,12117.2015,66538.49100000001
1958-11-01,,62888.850999999995,13463.998000000001,5034.123,10861.646,92248.61799999999
1958-12-01,,70213.9165,12874.898499999998,5024.2055,12087.448999999999,100200.4695
1959-01-01,,66199.3125,12783.6575,4548.1655,11734.386,95265.5215
1959-02-01,,71578.56450000002,10371.721500000001,5918.763999999999,9024.925000000001,96893.975
1959-03-01,,72923.3775,12628.944499999998,5591.4865,8417.974,99561.78250000002
1959-04-01,,99750.215,17198.9285,5510.163,8435.8255,130895.13200000003
1959-05-01,,24656.8885,6341.249500000001,10439.1605,10024.609,51461.9075
1959-06-01,,4080.0595,2288.9590000000003,13932.104,9653.6945,29954.817
1959-07-01,,2179.8665,1303.1595000000002,10677.1805,9221.291500000001,23381.498
1959-08-01,,1513.4105,993.7334999999999,11365.455,9973.038,23845.637
1959-09-01,,18307.705,6160.750999999999,13612.760500000002,10026.5925,48107.809
1959-10-01,,47264.8215,9606.0905,8146.2345,9677.4965,74694.64299999998
1959-11-01,,45065.12,7664.244000000001,4554.116,9137.9845,66421.46449999999
1959-12-01,,47413.584,6660.593000000001,4494.611,9572.371000000001,68141.159
1960-01-01,,51519.429000000004,7410.356,4113.779,9550.5525,72594.11649999999
1960-02-01,,54074.177,9675.513,3409.6365000000005,8261.2775,75420.604
1960-03-01,,111506.41950000002,31833.191500000004,3931.297,10290.398,157561.306
1960-04-01,,116570.295,31587.237500000003,6904.563499999999,7061.260000000001,162123.356
1960-05-01,,48484.674,9945.269,10145.6025,7594.8215,76170.367
1960-06-01,,1338.8625,2320.695,9619.975,9054.6775,22334.21
1960-07-01,,1130.595,1172.2485000000001,6920.431500000001,8771.037,17994.311999999998
1960-08-01,,1440.021,2614.253,6696.296,8039.125500000001,18789.6955
1960-09-01,,4324.030000000001,3197.402,6648.691999999999,8273.1785,22443.302499999998
1960-10-01,,22947.111500000003,9391.872500000001,6503.896500000001,8542.934500000001,47385.81500000001
1960-11-01,,50692.3095,10913.217,5555.7835,8074.8285,75236.1385
1960-12-01,,47322.343,7134.6494999999995,5010.321,8421.941,67889.2545
1961-01-01,,40023.063,6791.503999999999,3619.8875,8415.9905,58850.44500000001
1961-02-01,,58374.40500000002,7311.1810000000005,3730.9635000000003,7461.927000000001,76878.4765
