Unnamed: 0,date,year,month,elevation_ft,monthly_precip_inches,snow_water_equiv_in,elev_ft_NGVD29,volume_km3,area_acre,area_acre_prior,prior_month_vol_km3,precip_km3,inflow_km3,evaporation_km3
18,1951-07-01,1951,7,4199.55,2.17,,4199.55,18.7984945021656,986042.85,1002131.65,19.227729580934398,0.22352977369859497,0.16230305364204,0.8150679061094347
19,1951-08-01,1951,8,4199.15,1.79,,4199.15,18.3165108230028,968281.78,986042.85,18.7984945021656,0.181426066747185,0.24931909883232004,0.9127288447423073
20,1951-09-01,1951,9,4198.85,0.0,,4198.85,17.96101558392,954273.06,968281.78,18.3165108230028,0.0,0.23083497856542,0.5863302176482187
21,1951-10-01,1951,10,4198.45,1.9,,4198.45,17.4953291729136,933750.38,954273.06,17.96101558392,0.18637048289105998,0.33504088861278003,0.9870977825102404
22,1951-11-01,1951,11,4198.35,1.59,,4198.35,17.3803581919812,928507.42,933750.38,17.4953291729136,0.15260852048071802,0.33519502489032,0.6027745263034385
23,1951-12-01,1951,12,4198.55,2.9,,4198.55,17.610375100090803,938875.2,928507.42,17.3803581919812,0.27677970533522,0.38257358067701996,0.4293363779026383
24,1952-01-01,1952,1,4198.8,2.2,,4198.8,17.901898834656,951733.99,938875.2,17.610375100090803,0.21231535997759998,0.43406733041327994,0.35485895582568094
25,1952-02-01,1952,2,4199.2,1.84,,4199.2,18.3766462540596,970473.32,951733.99,17.901898834656,0.180004875771064,0.41191574538396003,0.11717320175142489
26,1952-03-01,1952,3,4199.5,3.56,,4199.5,18.737989693188,983737.08,970473.32,18.3766462540596,0.355127631123568,0.5190844972107002,0.5128686892058675
27,1952-04-01,1952,4,4200.05,1.86,,4200.05,19.414876891644003,1027830.01,983737.08,18.737989693188,0.188080102082952,1.12224421730052,0.6334371209274722
28,1952-05-01,1952,5,4200.6,1.07,,4200.6,20.121825403867202,1056770.48,1027830.01,19.414876891644003,0.113046191998853,1.272575530732104,0.6786732105077571
29,1952-06-01,1952,6,4200.95,1.07,,4200.95,20.5822374667284,1075491.28,1056770.48,20.121825403867202,0.116229218273944,0.5156641398138601,0.1714812952266063
30,1952-07-01,1952,7,4200.75,1.09,,4200.75,20.3179427044848,1064499.26,1075491.28,20.5822374667284,0.12049922605160801,0.19870368121728002,0.5834976695124863
31,1952-08-01,1952,8,4200.4,0.19,,4200.4,19.862199301749598,1043601.84,1064499.26,20.3179427044848,0.020789776997726002,0.18505650413604,0.6615896838689651
32,1952-09-01,1952,9,4199.9,0.02,,4199.9,19.227729580934398,1002131.65,1043601.84,19.862199301749598,0.0021454366626720003,0.19974348943878004,0.8363586469166522
33,1952-10-01,1952,10,4199.55,0.0,,4199.55,18.7984945021656,986042.85,1002131.65,19.227729580934398,0.0,0.26363175317532006,0.6928668319441188
34,1952-11-01,1952,11,4199.4,1.08,,4199.4,18.6168025281216,979291.94,986042.85,18.7984945021656,0.10946377211562001,0.32196377109768,0.6131195172572997
35,1952-12-01,1952,12,4199.35,1.16,,4199.35,18.556707357852,977159.88,979291.94,18.6168025281216,0.11676724547461599,0.38918186775060004,0.5660442834948161
36,1953-01-01,1953,1,4199.6,2.73,,4199.6,18.8597325903336,988239.63,977159.88,18.556707357852,0.274207380897996,0.4335559894290601,0.40473813784545615
37,1953-02-01,1953,2,4200.05,0.39,,4200.05,19.414876891644003,1027830.01,988239.63,18.8597325903336,0.039616649111403,0.3662277954350401,-0.14929985676395724
38,1953-03-01,1953,3,4200.2,0.86,,4200.2,19.606196904841198,1034869.34,1027830.01,19.414876891644003,0.090859556185994,0.39684708929873996,0.2963866322875343
39,1953-04-01,1953,4,4200.3,2.77,,4200.3,19.7336167333344,1039305.06,1034869.34,19.606196904841198,0.29465658790032195,0.4372895125961401,0.6045262720032619
40,1953-05-01,1953,5,4200.5,1.05,,4200.5,19.9916617237836,1051773.52,1039305.06,19.7336167333344,0.11217167547327002,0.397092239378256,0.2512189244023236
41,1953-06-01,1953,6,4200.55,0.51,,4200.55,20.056348659036,1054165.31,1051773.52,19.9916617237836,0.055137018061608006,0.44537310404046015,0.4358231868496696
42,1953-07-01,1953,7,4200.5,0.81,,4200.5,19.9916617237836,1051773.52,1054165.31,20.056348659036,0.087769698294069,0.04781405193594,0.2002706854824073
43,1953-08-01,1953,8,4200.0,0.88,,4200.0,19.351806579949198,1025501.15,1051773.52,19.9916617237836,0.09513838410630401,0.06129485970174001,0.7962883876424451
44,1953-09-01,1953,9,4199.35,0.13,,4199.35,18.556707357852,977159.88,1025501.15,19.351806579949198,0.013703464217105,0.06284845551504001,0.8716511418293424
45,1953-10-01,1953,10,4198.95,0.32,,4198.95,18.0791291388528,959088.34,977159.88,18.556707357852,0.032141524500864,0.13614637200426,0.6458661155043247
46,1953-11-01,1953,11,4198.75,0.96,,4198.75,17.8435065328656,949195.14,959088.34,18.0791291388528,0.094641302849856,0.19353155279316,0.5237954616302135
47,1953-12-01,1953,12,4198.75,0.91,,4198.75,17.8435065328656,949195.14,949195.14,17.8435065328656,0.088786669280946,0.20476148158536003,0.29354815086630565
48,1954-01-01,1954,1,4198.8,0.8999999999999999,,4198.8,17.901898834656,951733.99,949195.14,17.8435065328656,0.08781099159654,0.21858726101994,0.2480059508260838
49,1954-02-01,1954,2,4199.05,0.81,,4199.05,18.197245876164,963700.57,951733.99,17.901898834656,0.079241276834001,0.2243416820481,0.008235917374099589
50,1954-03-01,1954,3,4199.15,1.5,,4199.15,18.3165108230028,968281.78,963700.57,18.197245876164,0.14858817238545,0.28801953753276005,0.3173427630794098
51,1954-04-01,1954,4,4199.3,0.65,,4199.3,18.496159216722,974905.45,968281.78,18.3165108230028,0.06469429470803,0.29873812534074,0.18378402632956922
52,1954-05-01,1954,5,4199.35,0.63,,4199.35,18.556707357852,977159.88,974905.45,18.496159216722,0.063132634659465,0.09061011172529997,0.09319460525476496
53,1954-06-01,1954,6,4199.05,1.83,,4199.05,18.197245876164,963700.57,977159.88,18.556707357852,0.183809343239316,0.07017849182472001,0.613449316752035
54,1954-07-01,1954,7,4198.85,0.91,,4198.85,17.96101558392,954273.06,963700.57,18.197245876164,0.090143491247173,0.03736948417692,0.3637432676680946
55,1954-08-01,1954,8,4198.35,1.77,,4198.35,17.3803581919812,928507.42,954273.06,17.96101558392,0.173618818272198,0.032153561477118,0.7864297716881187
56,1954-09-01,1954,9,4197.7,0.5900000000000001,,4197.7,16.6495271386764,894795.17,928507.42,17.3803581919812,0.05631035384406201,0.06959375261310002,0.8567351597619636
57,1954-10-01,1954,10,4197.35,0.54,,4197.35,16.267011965127598,876555.56,894795.17,16.6495271386764,0.04966703758312201,0.12773493514422,0.5599171462761421
58,1954-11-01,1954,11,4197.15,1.61,,4197.15,16.0520508645588,864498.36,876555.56,16.267011965127598,0.14506284507996403,0.15687403142202003,0.5168979770707817
59,1954-12-01,1954,12,4197.25,0.69,,4197.25,16.159154722386,870552.98,864498.36,16.0520508645588,0.06131463263283599,0.15796277179511994,0.11217354660075773
60,1955-01-01,1955,1,4197.3,1.34,,4197.3,16.2127274477724,873541.88,870552.98,16.159154722386,0.11990874869102802,0.17245158188388,0.23878760518850647
61,1955-02-01,1955,2,4197.45,1.31,,4197.45,16.3755763372836,882006.1,873541.88,16.2127274477724,0.11762669449721201,0.15800436412397997,0.11278216910999184
62,1955-03-01,1955,3,4197.6,0.2,,4197.6,16.5393659526516,889570.05,882006.1,16.3755763372836,0.018132281403799997,0.27217286023709997,0.12651552627289978
63,1955-04-01,1955,4,4197.85,2.04,,4197.85,16.8156987642768,902526.46,889570.05,16.5393659526516,0.18653536709658003,0.35351522244936007,0.26371777792073986
64,1955-05-01,1955,5,4198.05,1.35,,4198.05,17.0393048204388,912886.59,902526.46,16.8156987642768,0.12524043801159002,0.28978109499036,0.19141547683994936
65,1955-06-01,1955,6,4197.95,0.95,,4197.95,16.9274544328932,907761.33,912886.59,17.0393048204388,0.089143831956795,0.1663937815158,0.3673880010181968
66,1955-07-01,1955,7,4197.8,0.8,,4197.8,16.7597895317352,900027.08,907761.33,16.9274544328932,0.07464702968856,0.03542443115082,0.27773636199737983
67,1955-08-01,1955,8,4197.3,0.44,,4197.3,16.2127274477724,873541.88,900027.08,16.7597895317352,0.040706064763408004,0.04353004206336001,0.6312981907895668
68,1955-09-01,1955,9,4196.95,0.97,,4196.95,15.84060117318,852452.51,873541.88,16.2127274477724,0.087097628749844,0.06456352742862001,0.5237874307708649
69,1955-10-01,1955,10,4196.55,0.9,,4196.55,15.4253505258936,829196.85,852452.51,15.84060117318,0.07886123415261,0.13656963511560005,0.63068151655461
70,1955-11-01,1955,11,4196.4,2.24,,4196.4,15.272834905390802,820447.55,829196.85,15.4253505258936,0.19092224303376001,0.19520503237788003,0.5386428959144393
71,1955-12-01,1955,12,4196.45,1.09,,4196.45,15.3238208628648,823324.69,820447.55,15.272834905390802,0.091923845994305,0.3238672317949201,0.364805120315226
72,1956-01-01,1956,1,4196.85,2.39,,4196.85,15.735710992569599,846739.08,823324.69,15.3238208628648,0.20226461227538903,0.35657984310406804,0.14695432567465858
73,1956-02-01,1956,2,4197.3,1.1,,4197.3,16.2127274477724,873541.88,846739.08,15.735710992569599,0.09573994103651999,0.240644896318188,-0.1406316178480942
74,1956-03-01,1956,3,4197.5,0.0999999999999999,,4197.5,16.4298390343776,884529.99,873541.88,16.2127274477724,0.00897913698451999,0.39594429110172,0.18781184148104296
75,1956-04-01,1956,4,4197.6,1.5,,4197.6,16.5393659526516,889570.05,884529.99,16.4298390343776,0.13638125650815,0.47208761220648005,0.498941950440628
76,1956-05-01,1956,5,4197.75,2.33,,4197.75,16.7045806197984,897429.32,889570.05,16.5393659526516,0.21305264967403503,0.50291731432206,0.5507552968492949
77,1956-06-01,1956,6,4197.85,0.63,,4197.85,16.8156987642768,902526.46,897429.32,16.7045806197984,0.058115458675763995,0.146007668516208,0.09300498271357256
78,1956-07-01,1956,7,4197.5,0.08,,4197.5,16.4298390343776,884529.99,902526.46,16.8156987642768,0.007421655585872001,0.040422850436760006,0.4337042359218328
79,1956-08-01,1956,8,4197.05,0.03,,4197.05,15.945693792528,858479.83,884529.99,16.4298390343776,0.002727625130163,0.04989611498652,0.5367689819662831
80,1956-09-01,1956,9,4196.35,0.14,,4196.35,15.2225238711684,817448.7,858479.83,15.945693792528,0.012354039841598,0.05718700557492,0.7927109667761169
81,1956-10-01,1956,10,4196.0,1.86,,4196.0,14.8736983174764,798725.23,817448.7,15.2225238711684,0.15628752648378,0.14684783355918,0.6519609137349599
82,1956-11-01,1956,11,4195.9,0.56,,4195.9,14.7753768372492,794073.07,798725.23,14.8736983174764,0.045976541179352,0.18583941856164,0.3301374399681924
83,1956-12-01,1956,12,4195.9,1.67,,4195.9,14.7753768372492,794073.07,794073.07,14.7753768372492,0.136310027345051,0.21429835793219998,0.3506083852772526
84,1957-01-01,1957,1,4196.15,1.37,,4196.15,15.022046921834399,805967.29,794073.07,14.7753768372492,0.111823196085461,0.20487647214162,0.07002958364188151
85,1957-02-01,1957,2,4196.3,0.72,,4196.3,15.171897991176,814729.51,805967.29,15.022046921834399,0.059648671972152,0.26335773312636007,0.17315533575691142
86,1957-03-01,1957,3,4196.55,2.18,,4196.55,15.4253505258936,829196.85,814729.51,15.171897991176,0.182566381005722,0.3416809815849,0.2707948278730216
87,1957-04-01,1957,4,4196.75,3.24,,4196.75,15.631540313178,840830.77,829196.85,15.4253505258936,0.27615538724526,0.40053657352938,0.4705021734902403
88,1957-05-01,1957,5,4197.0,3.37,,4197.0,15.893053417669199,855220.71,840830.77,15.631540313178,0.291265712638771,0.71294634202716,0.742698950174733
89,1957-06-01,1957,6,4197.45,1.47,,4197.45,16.3755763372836,882006.1,855220.71,15.893053417669199,0.129224961067923,0.44851699478075996,0.09521903623428264
90,1957-07-01,1957,7,4197.4,0.31,,4197.4,16.3209449036784,879251.73,882006.1,16.3755763372836,0.02810503617589,0.05332136559852,0.1360578353796108
91,1957-08-01,1957,8,4196.95,1.69,,4196.95,15.84060117318,852452.51,879251.73,16.3209449036784,0.152739302202123,0.09596328911034002,0.7290463218108614
92,1957-09-01,1957,9,4196.3,0.33,,4196.3,15.171897991176,814729.51,852452.51,15.84060117318,0.028915785855957003,0.13057839934685175,0.8281973672068108
93,1957-10-01,1957,10,4196.0,0.78,,4196.0,14.8736983174764,798725.23,814729.51,15.171897991176,0.06532191613966201,0.13474691246849999,0.4982685023077609
94,1957-11-01,1957,11,4195.85,1.37,,4195.85,14.7266680442076,791732.38,798725.23,14.8736983174764,0.11247832395662902,0.13715926754238,0.3966678647678094
95,1957-12-01,1957,12,4195.95,1.61,,4195.95,14.8247060213916,796320.16,791732.38,14.7266680442076,0.13102529585772202,0.14559517047822002,0.17858248915194241
96,1958-01-01,1958,1,4196.15,0.87,,4196.15,15.022046921834399,805967.29,796320.16,14.8247060213916,0.07121276184436799,0.13918505861862,0.01305692002018803
97,1958-02-01,1958,2,4196.35,2.2,,4196.35,15.2225238711684,817448.7,805967.29,15.022046921834399,0.18225983102602003,0.18365459799270004,0.1654374796847204
98,1958-03-01,1958,3,4196.8,2.19,,4196.8,15.683280605345999,843685.72,817448.7,15.2225238711684,0.18401595860187,0.21053547547416002,-0.06620530010156814
99,1958-04-01,1958,4,4196.95,2.92,,4196.95,15.84060117318,852452.51,843685.72,15.683280605345999,0.253229569063696,0.35998649949846,0.45589550072815493
100,1958-05-01,1958,5,4197.4,0.3,,4197.4,16.3209449036784,879251.73,852452.51,15.84060117318,0.026287078050869998,0.31867797711774,-0.13537867532978914
101,1958-06-01,1958,6,4197.4,0.04,,4197.4,16.3209449036784,879251.73,879251.73,16.3209449036784,0.003615131413068,0.06111381074082,0.06472894215388739
102,1958-07-01,1958,7,4196.95,0.05,,4196.95,15.84060117318,852452.51,879251.73,16.3209449036784,0.004518914266335,0.030467604193740006,0.5153302489584749
103,1958-08-01,1958,8,4196.35,0.2299999999999999,,4196.35,15.2225238711684,817448.7,852452.51,15.84060117318,0.020153426505666993,0.05667811119828,0.6949088397155473
104,1958-09-01,1958,9,4195.9,0.25,,4195.9,14.7753768372492,794073.07,817448.7,15.2225238711684,0.02100638796825,0.07589376713160001,0.5440471890190516
105,1958-10-01,1958,10,4195.5,0.0,,4195.5,14.388257477574001,775681.82,794073.07,14.7753768372492,0.0,0.08207389787868001,0.4691932575538785
106,1958-11-01,1958,11,4195.25,1.13,,4195.25,14.150790066564001,764418.29,775681.82,14.388257477574001,0.090097537733914,0.11378682533064001,0.44135177407455517
107,1958-12-01,1958,12,4195.3,0.54,,4195.3,14.1978170959692,766596.04,764418.29,14.150790066564001,0.04243026025571401,0.12359527511886001,0.11899850596937532
108,1959-01-01,1959,1,4195.5,1.6,,4195.5,14.388257477574001,775681.82,766596.04,14.1978170959692,0.12607745112256,0.11750811545982,0.05314518497757858
109,1959-02-01,1959,2,4195.75,1.41,,4195.75,14.629202722448401,787024.43,775681.82,14.388257477574001,0.11242259133169799,0.119516780283,-0.009005873259702393
110,1959-03-01,1959,3,4195.95,0.79,,4195.95,14.8247060213916,796320.16,787024.43,14.629202722448401,0.06390961051616302,0.12280746747810002,-0.008786220948936817
111,1959-04-01,1959,4,4196.0,1.61,,4196.0,14.8736983174764,798725.23,796320.16,14.8247060213916,0.131784536286704,0.16145652741936006,0.24424876762126313
112,1959-05-01,1959,5,4196.05,2.05,,4196.05,14.9228362135404,801026.29,798725.23,14.8736983174764,0.16830698110298498,0.0634772336631,0.18264631870208434
113,1959-06-01,1959,6,4195.95,1.38,,4195.95,14.8247060213916,796320.16,801026.29,14.9228362135404,0.11362573944175801,0.03694866767316,0.24870459926371888
114,1959-07-01,1959,7,4195.7,0.19,,4195.7,14.5809237478476,784804.31,796320.16,14.8247060213916,0.015552212356816003,0.02884061015304,0.28817509605385705
115,1959-08-01,1959,8,4195.3,1.76,,4195.3,14.1978170959692,766596.04,784804.31,14.5809237478476,0.14197926164382402,0.029413116326759997,0.5544990298489838
116,1959-09-01,1959,9,4194.8,1.66,,4194.8,13.7320441933452,743607.23,766596.04,14.1978170959692,0.130805355539656,0.05934002024532,0.6559182784089749
117,1959-10-01,1959,10,4194.5,0.22,,4194.5,13.45975195383,729146.3,743607.23,13.7320441933452,0.016815785177774,0.09213434824763998,0.38124237294061397
118,1959-11-01,1959,11,4194.4,0.1,,4194.4,13.370016653874002,724476.65,729146.3,13.45975195383,0.0074948948177,0.08192954803145998,0.17915974280515945
119,1959-12-01,1959,12,4194.3,1.05,,4194.3,13.28085202344,719915.15,724476.65,13.370016653874002,0.07819240259617502,0.08405075680332,0.2514077898334961
120,1960-01-01,1960,1,4194.5,0.96,,4194.5,13.45975195383,729146.3,719915.15,13.28085202344,0.07104007513776,0.08954339082041998,-0.01831646443182136
121,1960-02-01,1960,2,4194.65,1.58,,4194.65,13.5952255186176,736362.44,729146.3,13.45975195383,0.11841933811966003,0.09302980662192001,0.07597557995398051
122,1960-03-01,1960,3,4194.85,2.45,,4194.85,13.778247418462799,746059.29,736362.44,13.5952255186176,0.18544220325862001,0.19434871972488002,0.19676902313829958
123,1960-04-01,1960,4,4195.3,1.11,,4195.3,14.1978170959692,766596.04,746059.29,13.778247418462799,0.08512305220520101,0.19997591715888,-0.13447070814231893
124,1960-05-01,1960,5,4195.3,0.73,,4195.3,14.1978170959692,766596.04,766596.04,14.1978170959692,0.057522837074668,0.09395462428716,0.15147746136182877
125,1960-06-01,1960,6,4195.15,0.39,,4195.15,14.0566936623852,759880.94,766596.04,14.1978170959692,0.030731378711124004,0.027548801350799998,0.1994036136459246
126,1960-07-01,1960,7,4194.75,0.02,,4194.75,13.686435715279199,741262.74,759880.94,14.0566936623852,0.001562163236452,0.022195623965759997,0.3940157343082151
127,1960-08-01,1960,8,4194.25,1.33,,4194.25,13.2366964367964,717624.18,741262.74,13.686435715279199,0.101338548069318,0.023176713605340002,0.574254540157456
128,1960-09-01,1960,9,4193.65,0.49,,4193.65,12.715010650530001,692772.8,717624.18,13.2366964367964,0.036144648836478006,0.027683364767700003,0.585513799870578
129,1960-10-01,1960,10,4193.33,1.19,,4193.33,12.443873984418,682243.06,692772.8,12.715010650530001,0.08474003817328,0.05844945508620001,0.4143261593714805
130,1960-11-01,1960,11,4193.2,1.73,,4193.2,12.3348605268636,678652.26,682243.06,12.443873984418,0.12132103195770201,0.09280227211698,0.3231367616290796
131,1960-12-01,1960,12,4193.25,0.39,,4193.25,12.376594989624001,680047.79,678652.26,12.3348605268636,0.027205879664106,0.08374003764066,0.06921145454436409
132,1961-01-01,1961,1,4193.35,0.09,,4193.35,12.460728588177599,682845.9,680047.79,12.376594989624001,0.006291190110069,0.07259084689860001,-0.005251561544927861
133,1961-02-01,1961,2,4193.45,2.06,,4193.45,12.545223115314,685925.16,682845.9,12.460728588177599,0.14459084392566,0.09482806319322,0.15492437998247882
134,1961-03-01,1961,3,4193.65,1.85,,4193.65,12.715010650530001,692772.8,685925.16,12.545223115314,0.13043655731334,0.11300146429746,0.07365048639480203
135,1961-04-01,1961,4,4193.77,0.95,,4193.77,12.8179819063044,697256.48,692772.8,12.715010650530001,0.0676496103064,0.0908303064075,0.05550866093950123
136,1961-05-01,1961,5,4193.6,0.24,,4193.6,12.6725057068224,691046.42,697256.48,12.8179819063044,0.017201038459008,0.017570801657285997,0.18024803959829153
137,1961-06-01,1961,6,4193.32,0.09,,4193.32,12.4352467662672,681967.75,691046.42,12.6725057068224,0.006392939536062,0.012642110687376003,0.2562939907786388
138,1961-07-01,1961,7,4192.92,0.54,,4192.92,12.101482694124002,671693.23,681967.75,12.4352467662672,0.03785371111215001,0.012844689795000003,0.3844624730503499
139,1961-08-01,1961,8,4192.35,1.2,,4192.35,11.634718751994,655889.02,671693.23,12.101482694124002,0.08285201653404,0.01187583319332,0.561491791857361
140,1961-09-01,1961,9,4191.8,1.1,,4191.8,11.193098374554001,646168.83,655889.02,11.634718751994,0.07416071560238001,0.02513644627692,0.5409175393192994
141,1961-10-01,1961,10,4191.7,1.6,,4191.7,11.1138181004172,644424.58,646168.83,11.193098374554001,0.10627151045712,0.054933679993740006,0.2404854645876602
142,1961-11-01,1961,11,4191.6,1.15,,4191.6,11.0343905364336,642083.27,644424.58,11.1138181004172,0.07617646296492998,0.06913379038806,0.2247378173365901
143,1961-12-01,1961,12,4191.8,0.88,,4191.8,11.193098374554001,646168.83,642083.27,11.0343905364336,0.058079770604504005,0.07821559772502,-0.022412469790878662
144,1962-01-01,1962,1,4192.05,0.8400000000000001,,4192.05,11.3929433257404,649965.05,646168.83,11.193098374554001,0.055792542989988,0.07444292883666,-0.06960947935975074
145,1962-02-01,1962,2,4192.2,1.43,,4192.2,11.513752256499599,652626.28,649965.05,11.3929433257404,0.095538167709985,0.24320991970506,0.21793915665584493
146,1962-03-01,1962,3,4193.02,2.34,,4193.02,12.1845546487764,674021.82,652626.28,11.513752256499599,0.156975285451608,0.17098851055104,-0.3428385962741522
147,1962-04-01,1962,4,4193.35,2.98,,4193.35,12.460728588177599,682845.9,674021.82,12.1845546487764,0.20646245457584397,0.33100887932094003,0.26129739449558526
148,1962-05-01,1962,5,4193.62,2.12,,4193.62,12.68957814315,691702.27,682845.9,12.460728588177599,0.14880222772932,0.26479878499098,0.18475145774789825
149,1962-06-01,1962,6,4193.83,0.49,,4193.83,12.869716660147201,699554.58,691702.27,12.68957814315,0.034839037403317,0.09769793388456001,-0.04760154570932423
150,1962-07-01,1962,7,4193.52,2.52,,4193.52,12.6043941130284,688151.94,699554.58,12.869716660147201,0.181206182501064,0.03141933454236,0.47794806416222524
151,1962-08-01,1962,8,4192.98,0.26,,4192.98,12.151291023572401,673069.42,688151.94,12.6043941130284,0.018391135857276,0.021221629488162003,0.49271585480143576
152,1962-09-01,1962,9,4192.42,0.27,,4192.42,11.6912797060284,657597.9,673069.42,12.151291023572401,0.018679897534086005,0.026846624975340003,0.5055378400534263
